"","Variable","Estimate","SE","z-value","P-value"
"1","humpop_dens","0.0309467049975891","0.0443575602721624","0.697664722940374","0.485386894681405"
"2","human_flow","0.00386512710096715","0.0413852031455568","0.0933939381032642","0.925590606163589"
"3","openmarkets1","0.0361802949813374","0.108211562096891","0.33434777467626","0.738117143637554"
"4","hrs_openmarkets","0.0144648929882138","0.0420575520716338","0.343930929778717","0.730898230611102"
"5","bakeries_dens","0.00739237442602256","0.043570763789411","0.169663641008266","0.865274669710583"
"6","greenspace_dens","-0.080010075709944","0.0481407037645237","-1.66200469567929","0.0965118329761785"
"7","noise_pollut","0.0252725929731921","0.0429532639502019","0.588374215344659","0.556281140901759"
"8","airqual_pca1","0.052356802258575","0.0268704705017044","1.94848848125879","0.0513565417687301"
"9","waste_dens","0.0222948495631414","0.0440757301081338","0.505830521886853","0.61297562989211"
"10","hairdres_dens","0.0310508929478854","0.0394867208824844","0.786362915277146","0.431654903093424"
